id,keyword,category,search_intent,suggested_title,slug,primary_link,secondary_links,status,publish_date,published_url
1,"how many chickens do I need for a family of 4",chickens-eggs,informational,"How Many Chickens Do You Need for a Family of 4?",blog/how-many-chickens-family-of-4.html,"/calculators/egg-production.html","/calculators/chicken-coop-size.html;/calculators/chicken-feed.html",pending,,
2,"how big of a garden to feed a family of 4",gardening-planning,informational,"How Big a Garden Do You Need to Feed a Family of 4?",blog/garden-size-family-of-4.html,"/calculators/garden-yield.html","/blog/garden-yield-guide.html;/calculators/land-requirement.html",pending,,
3,"how much hay does a goat eat per day",livestock,informational,"How Much Hay Does a Goat Eat Per Day?",blog/hay-per-goat-per-day.html,"/calculators/goat-sheep-feed.html","/printables/livestock-hay-guide.html",pending,,
4,"water bath vs pressure canning",food-preservation,commercial-investigation,"Water Bath vs Pressure Canning: Which Foods Need Which",blog/water-bath-vs-pressure-canning.html,"/calculators/canning-scaler.html","/calculators/dehydrator.html",pending,,
5,"how much butter from a gallon of cream",dairy-kitchen,informational,"How Much Butter From a Gallon of Cream?",blog/butter-from-gallon-cream.html,"/calculators/butter-making.html","/blog/cheese-making-guide.html",pending,,
6,"how many solar panels to run a refrigerator",energy-offgrid,informational,"How Many Solar Panels to Run a Refrigerator?",blog/solar-panels-for-refrigerator.html,"/calculators/solar-power.html","/printables/solar-power-reference.html;/blog/solar-power-guide.html",pending,,
7,"browns to greens ratio by volume",composting-soil,informational,"Browns to Greens: The Easy Volume Ratio for Compost",blog/browns-greens-ratio.html,"/calculators/compost-mix.html","/blog/compost-guide.html",pending,,
8,"how much honey does one hive produce",beekeeping,informational,"How Much Honey Does One Hive Produce Per Year?",blog/honey-per-hive.html,"/calculators/honey-yield.html","/blog/honey-yield-guide.html",pending,,
9,"how much rainwater can I collect from my roof",water-rain,informational,"How Much Rainwater Can Your Roof Collect? The Simple Math",blog/rainwater-from-roof.html,"/calculators/rainwater-harvest.html","/printables/rainwater-harvest-cheat-sheet.html",pending,,
10,"how many apples does one tree produce",orchard-fruit,informational,"How Many Apples Does One Tree Produce?",blog/apples-per-tree.html,"/calculators/fruit-tree-yield.html","/calculators/cider-making.html",pending,,
11,"how many apples for a gallon of cider",brewing-ferment,informational,"How Many Apples for a Gallon of Cider?",blog/apples-per-gallon-cider.html,"/calculators/cider-making.html","/calculators/fruit-tree-yield.html",pending,,
12,"growing oyster mushrooms on straw",mushrooms-hydro,informational,"Growing Oyster Mushrooms on Straw: Start to Harvest",blog/oyster-mushrooms-straw.html,"/calculators/mushroom-growing.html","/calculators/hydroponic-system.html;/blog/hydroponics-guide.html",pending,,
13,"how much fencing for 1 acre",land-planning,informational,"How Much Fencing for 1 Acre? Perimeter Math and Materials",blog/fencing-for-1-acre.html,"/calculators/fencing-calculator.html","/calculators/self-sufficiency-score.html;/calculators/fencing-calculator.html",pending,,
14,"how much feed does a chicken eat per day",chickens-eggs,informational,"How Much Feed Does a Chicken Eat Per Day? Real Numbers",blog/chicken-feed-per-day.html,"/calculators/chicken-feed.html","/calculators/egg-production.html;/printables/chicken-feed-chart.html",pending,,
15,"how many tomato plants per person",gardening-planning,informational,"How Many Tomato Plants Per Person? Fresh Eating vs Canning",blog/tomato-plants-per-person.html,"/calculators/garden-yield.html","/calculators/plant-spacing.html;/calculators/canning-scaler.html",pending,,
16,"how many goats per acre",livestock,informational,"How Many Goats Per Acre? Stocking Rates by Forage",blog/goats-per-acre.html,"/calculators/land-requirement.html","/calculators/goat-sheep-feed.html",pending,,
17,"how long to dehydrate apples",food-preservation,informational,"How Long to Dehydrate Apples (Time and Temperature)",blog/dehydrate-apples-time.html,"/calculators/dehydrator.html","/calculators/fruit-tree-yield.html",pending,,
18,"how much cheese from a gallon of milk",dairy-kitchen,informational,"How Much Cheese From a Gallon of Milk? By Cheese Type",blog/cheese-from-gallon-milk.html,"/calculators/cheese-making.html","/calculators/goat-cheese-yield.html",pending,,
19,"how much firewood do I need for winter",energy-offgrid,informational,"How Much Firewood for Winter? Cords by Climate and Home Size",blog/firewood-for-winter.html,"/calculators/firewood-requirement.html","/calculators/firewood-requirement.html;/printables/solar-power-reference.html",pending,,
20,"why is my compost not heating up",composting-soil,informational,"Why Your Compost Is Not Heating Up (and How to Fix It)",blog/compost-not-heating.html,"/calculators/compost-temperature.html","/printables/compost-cn-ratio-chart.html",pending,,
21,"when to harvest honey first year",beekeeping,informational,"Should You Harvest Honey the First Year?",blog/first-year-honey-harvest.html,"/calculators/honey-yield.html","/calculators/honey-yield.html;/blog/honey-yield-guide.html",pending,,
22,"rain barrel vs cistern",water-rain,commercial-investigation,"Rain Barrel or Cistern? Choosing the Right Storage Size",blog/rain-barrel-vs-cistern.html,"/calculators/rainwater-harvest.html","/blog/rainwater-harvesting-guide.html",pending,,
23,"dwarf vs semi dwarf fruit trees",orchard-fruit,commercial-investigation,"Dwarf vs Semi-Dwarf Fruit Trees: Size, Yield, Lifespan",blog/dwarf-vs-semi-dwarf.html,"/calculators/fruit-tree-yield.html","/calculators/plant-spacing.html",pending,,
24,"how to calculate abv hard cider",brewing-ferment,informational,"Calculating ABV for Hard Cider With a Hydrometer",blog/calculate-cider-abv.html,"/calculators/cider-making.html","/calculators/wine-making.html;/blog/wine-making-guide.html",pending,,
25,"mushroom grow kit vs diy substrate",mushrooms-hydro,commercial-investigation,"Mushroom Kits vs DIY Substrate: Cost Per Pound",blog/kit-vs-diy-substrate.html,"/calculators/mushroom-growing.html","/calculators/hydroponic-system.html;/blog/hydroponics-guide.html",pending,,
26,"electric fence for goats how many strands",land-planning,informational,"Electric Fencing for Goats: Strand Count and Spacing",blog/electric-fence-goats.html,"/calculators/fencing-calculator.html","/calculators/goat-sheep-feed.html",pending,,
27,"chicken coop size for 10 chickens",chickens-eggs,informational,"Chicken Coop Size for 10 Chickens: Dimensions That Work",blog/coop-size-10-chickens.html,"/calculators/chicken-coop-size.html","/calculators/chicken-feed.html;/blog/chicken-feed-guide.html",pending,,
28,"when to start seeds indoors zone 6",gardening-planning,informational,"When to Start Seeds Indoors in Zone 6: Full Schedule",blog/seed-starting-zone-6.html,"/calculators/seed-starting.html","/calculators/frost-date.html;/blog/seed-starting-guide.html",pending,,
29,"how much water does a cow drink per day",livestock,informational,"How Much Water Does a Cow Drink Per Day?",blog/cow-water-per-day.html,"/calculators/livestock-water.html","/calculators/hay-forage.html",pending,,
30,"how many tomatoes for a quart of sauce",food-preservation,informational,"How Many Tomatoes Make a Quart of Sauce?",blog/tomatoes-per-quart-sauce.html,"/calculators/canning-scaler.html","/calculators/garden-yield.html",pending,,
31,"sourdough starter feeding ratio",dairy-kitchen,informational,"Sourdough Starter Feeding Ratios: 1:1:1 vs 1:5:5",blog/sourdough-feeding-ratio.html,"/calculators/bread-baking.html","/calculators/butter-making.html;/calculators/bread-baking.html",pending,,
32,"greenhouse heating cost per month",energy-offgrid,commercial-investigation,"What It Costs to Heat a Greenhouse Each Month",blog/greenhouse-heating-cost.html,"/calculators/greenhouse-heater.html","/calculators/firewood-requirement.html",pending,,
33,"composting chicken manure how long",composting-soil,informational,"Composting Chicken Manure: How Long Before It Is Safe",blog/composting-chicken-manure.html,"/calculators/compost-mix.html","/calculators/chicken-coop-size.html",pending,,
34,"how much does it cost to start beekeeping",beekeeping,commercial-investigation,"Startup Costs for Beekeeping: A Realistic Budget",blog/beekeeping-startup-cost.html,"/calculators/beehive-management.html","/calculators/honey-yield.html",pending,,
35,"is rainwater safe for vegetable gardens",water-rain,informational,"Is Rainwater Safe for Vegetable Gardens?",blog/rainwater-safe-vegetables.html,"/calculators/rainwater-harvest.html","/printables/rainwater-harvest-cheat-sheet.html;/blog/rainwater-harvesting-guide.html",pending,,
36,"when do fruit trees start producing",orchard-fruit,informational,"When Do Fruit Trees Start Producing? By Type and Rootstock",blog/fruit-tree-first-harvest.html,"/calculators/fruit-tree-yield.html","/calculators/frost-date.html;/calculators/plant-spacing.html",pending,,
37,"wine from garden grapes for beginners",brewing-ferment,informational,"Making Wine From Garden Grapes: First-Timer Walkthrough",blog/wine-from-garden-grapes.html,"/calculators/wine-making.html","/blog/wine-making-guide.html",pending,,
38,"how long do mushroom logs produce",mushrooms-hydro,informational,"How Long Do Mushroom Logs Keep Producing?",blog/mushroom-log-lifespan.html,"/calculators/mushroom-growing.html","/calculators/hydroponic-system.html;/blog/hydroponics-guide.html",pending,,
39,"cattle panel vs woven wire",land-planning,commercial-investigation,"Cattle Panels vs Woven Wire: Cost and Use Cases",blog/cattle-panel-vs-woven-wire.html,"/calculators/fencing-calculator.html","/calculators/self-sufficiency-score.html;/calculators/fencing-calculator.html",pending,,
40,"do chickens need heat in winter",chickens-eggs,informational,"Do Chickens Need Heat in Winter? When to Add It (and When Not To)",blog/do-chickens-need-heat-winter.html,"/calculators/chicken-coop-heating.html","/calculators/chicken-coop-size.html",pending,,
41,"tomato plant spacing in raised beds",gardening-planning,informational,"Tomato Spacing in Raised Beds: How Close Is Too Close?",blog/tomato-spacing-raised-beds.html,"/calculators/plant-spacing.html","/blog/plant-spacing-guide.html",pending,,
42,"how much land do you need for 2 cows",livestock,informational,"How Much Land Do You Need for 2 Cows?",blog/land-for-2-cows.html,"/calculators/land-requirement.html","/calculators/hay-forage.html",pending,,
43,"pressure canning green beans time",food-preservation,informational,"Pressure Canning Green Beans: Times and PSI by Altitude",blog/pressure-canning-green-beans.html,"/calculators/canning-scaler.html","/calculators/usda-zone-finder.html",pending,,
44,"how to make yogurt at home without a machine",dairy-kitchen,informational,"Homemade Yogurt Without a Machine: 3 Reliable Methods",blog/yogurt-without-machine.html,"/calculators/cheese-making.html","/calculators/butter-making.html",pending,,
45,"battery bank size for off grid cabin",energy-offgrid,informational,"Sizing a Battery Bank for an Off-Grid Cabin",blog/battery-bank-off-grid-cabin.html,"/calculators/solar-power.html","/printables/solar-power-reference.html",pending,,
46,"compost tumbler vs pile",composting-soil,commercial-investigation,"Compost Tumbler vs Pile: Speed, Cost, and Effort",blog/tumbler-vs-pile.html,"/calculators/compost-mix.html","/blog/compost-guide.html",pending,,
47,"langstroth vs top bar hive",beekeeping,commercial-investigation,"Langstroth vs Top Bar Hives for Beginners",blog/langstroth-vs-top-bar.html,"/calculators/beehive-management.html","/blog/honey-yield-guide.html",pending,,
48,"first flush diverter how it works",water-rain,informational,"First-Flush Diverters: Why They Matter and How to Size One",blog/first-flush-diverter.html,"/calculators/rainwater-harvest.html","/printables/rainwater-harvest-cheat-sheet.html;/blog/rainwater-harvesting-guide.html",pending,,
49,"fruit tree spacing for backyard orchard",orchard-fruit,informational,"Backyard Orchard Spacing: Fitting More Trees in Less Space",blog/fruit-tree-spacing.html,"/calculators/plant-spacing.html","/calculators/fruit-tree-yield.html",pending,,
50,"mead honey to water ratio",brewing-ferment,informational,"Mead Ratios: How Much Honey Per Gallon",blog/mead-honey-ratio.html,"/calculators/honey-yield.html","/calculators/wine-making.html",pending,,
51,"shiitake log inoculation",mushrooms-hydro,informational,"Inoculating Shiitake Logs: Tools, Timing, Technique",blog/shiitake-log-inoculation.html,"/calculators/mushroom-growing.html","/calculators/hydroponic-system.html;/blog/hydroponics-guide.html",pending,,
52,"how many acres to be self sufficient",land-planning,informational,"How Many Acres to Be Self-Sufficient? Honest Numbers",blog/acres-for-self-sufficiency.html,"/calculators/land-requirement.html","/calculators/self-sufficiency-score.html;/calculators/garden-yield.html",pending,,
53,"how many eggs does a hen lay per week",chickens-eggs,informational,"How Many Eggs Does a Hen Lay Per Week? By Breed and Age",blog/eggs-per-hen-per-week.html,"/calculators/egg-production.html","/printables/egg-production-chart.html",pending,,
54,"how many potatoes per plant",gardening-planning,informational,"How Many Potatoes Per Plant? Yields by Variety and Method",blog/potatoes-per-plant.html,"/calculators/garden-yield.html","/calculators/vegetable-storage.html",pending,,
55,"raising pigs on pasture feed costs",livestock,commercial-investigation,"Raising Pigs on Pasture: Real Feed Costs and Savings",blog/pasture-pigs-feed-cost.html,"/calculators/goat-sheep-feed.html","/calculators/land-requirement.html",pending,,
56,"how to store potatoes long term",food-preservation,informational,"How to Store Potatoes for 6+ Months Without a Root Cellar",blog/store-potatoes-long-term.html,"/calculators/vegetable-storage.html","/printables/vegetable-storage-chart.html",pending,,
57,"mozzarella from store bought milk",dairy-kitchen,informational,"Can You Make Mozzarella From Store-Bought Milk?",blog/mozzarella-store-milk.html,"/calculators/cheese-making.html","/blog/cheese-making-guide.html",pending,,
58,"best firewood to burn BTU chart",energy-offgrid,informational,"Best Firewood by BTU: Species Ranked for Heat Output",blog/best-firewood-btu.html,"/calculators/firewood-requirement.html","/calculators/firewood-requirement.html;/printables/solar-power-reference.html",pending,,
59,"how long does compost take",composting-soil,informational,"How Long Does Compost Take? Hot, Warm, and Cold Timelines",blog/how-long-compost-takes.html,"/calculators/compost-temperature.html","/calculators/compost-temperature.html;/printables/compost-cn-ratio-chart.html",pending,,
60,"sugar water ratio for feeding bees",beekeeping,informational,"Feeding Bees: 1:1 vs 2:1 Sugar Syrup and When to Use Each",blog/bee-sugar-syrup-ratio.html,"/calculators/beehive-management.html","/calculators/honey-yield.html;/blog/honey-yield-guide.html",pending,,
61,"gravity drip irrigation from rain barrel",water-rain,informational,"Gravity-Fed Drip Irrigation From a Rain Barrel",blog/gravity-drip-irrigation.html,"/calculators/rainwater-harvest.html","/calculators/plant-spacing.html",pending,,
62,"pruning apple trees in winter",orchard-fruit,informational,"Winter Apple Pruning: What to Cut and Why",blog/winter-apple-pruning.html,"/calculators/fruit-tree-yield.html","/calculators/frost-date.html;/calculators/plant-spacing.html",pending,,
63,"cider yeast vs wine yeast vs bread yeast",brewing-ferment,commercial-investigation,"Yeast for Cider: Cider vs Wine vs Bread Yeast Compared",blog/cider-yeast-comparison.html,"/calculators/cider-making.html","/calculators/wine-making.html;/blog/wine-making-guide.html",pending,,
64,"kratky method lettuce",mushrooms-hydro,informational,"Kratky Method: Hands-Off Hydroponic Lettuce",blog/kratky-method-lettuce.html,"/calculators/hydroponic-system.html","/blog/hydroponics-guide.html",pending,,
65,"t post spacing for field fence",land-planning,informational,"T-Post Spacing for Field Fence: Getting It Right",blog/t-post-spacing.html,"/calculators/fencing-calculator.html","/calculators/self-sufficiency-score.html;/calculators/fencing-calculator.html",pending,,
66,"how long do chickens lay eggs",chickens-eggs,informational,"How Long Do Chickens Lay Eggs? Production by Age Explained",blog/how-long-chickens-lay-eggs.html,"/calculators/egg-production.html","/printables/egg-production-chart.html",pending,,
67,"companion planting chart for tomatoes",gardening-planning,informational,"Companion Planting for Tomatoes: What Helps, What Hurts",blog/companion-planting-tomatoes.html,"/calculators/plant-spacing.html","/blog/plant-spacing-guide.html",pending,,
68,"how much hay for winter per cow",livestock,informational,"How Much Hay Per Cow for Winter? The 180-Day Math",blog/winter-hay-per-cow.html,"/calculators/hay-forage.html","/printables/livestock-hay-guide.html",pending,,
69,"dehydrating herbs temperature and time",food-preservation,informational,"Dehydrating Herbs: Temperatures and Times That Preserve Flavor",blog/dehydrating-herbs.html,"/calculators/dehydrator.html","/calculators/vegetable-storage.html;/calculators/dehydrator.html",pending,,
70,"bread hydration percentage explained",dairy-kitchen,informational,"Bread Hydration Explained: What 65% vs 80% Really Means",blog/bread-hydration-explained.html,"/calculators/bread-baking.html","/calculators/butter-making.html;/calculators/bread-baking.html",pending,,
71,"solar generator vs gas generator homestead",energy-offgrid,commercial-investigation,"Solar vs Gas Generators for Homestead Backup Power",blog/solar-vs-gas-generator.html,"/calculators/solar-power.html","/blog/solar-power-guide.html",pending,,
72,"composting in winter cold climate",composting-soil,informational,"Winter Composting in Cold Climates: Keeping It Alive",blog/winter-composting.html,"/calculators/compost-temperature.html","/calculators/compost-temperature.html;/printables/compost-cn-ratio-chart.html",pending,,
73,"winterizing beehives in cold climates",beekeeping,informational,"Winterizing Beehives: A Cold-Climate Checklist",blog/winterize-beehives.html,"/calculators/beehive-management.html","/calculators/honey-yield.html",pending,,
74,"water tank size for off grid home",water-rain,informational,"How Big a Water Tank Does an Off-Grid Home Need?",blog/off-grid-water-tank-size.html,"/calculators/rainwater-harvest.html","/calculators/livestock-water.html",pending,,
75,"best fruit trees for a small homestead",orchard-fruit,informational,"Best Fruit Trees for a Small Homestead (Ranked)",blog/best-fruit-trees-homestead.html,"/calculators/fruit-tree-yield.html","/calculators/land-requirement.html",pending,,
76,"how long to ferment hard cider",brewing-ferment,informational,"Hard Cider Fermentation Timeline: Primary to Bottle",blog/cider-fermentation-time.html,"/calculators/cider-making.html","/calculators/wine-making.html;/blog/wine-making-guide.html",pending,,
77,"hydroponic nutrients for beginners",mushrooms-hydro,informational,"Hydroponic Nutrients Explained for Beginners",blog/hydroponic-nutrients-beginners.html,"/calculators/hydroponic-system.html","/blog/hydroponics-guide.html",pending,,
78,"homestead layout for 5 acres",land-planning,informational,"Planning a 5-Acre Homestead Layout",blog/5-acre-homestead-layout.html,"/calculators/land-requirement.html","/calculators/self-sufficiency-score.html",pending,,
79,"best egg laying chicken breeds for beginners",chickens-eggs,informational,"10 Best Egg-Laying Chicken Breeds for Beginners",blog/best-egg-laying-breeds-beginners.html,"/calculators/egg-production.html","/printables/egg-production-chart.html;/calculators/chicken-coop-size.html",pending,,
80,"how many seeds per hole when planting",gardening-planning,informational,"How Many Seeds Per Hole? Seeding Rates That Make Sense",blog/seeds-per-hole.html,"/calculators/seed-calculator.html","/blog/seed-starting-guide.html",pending,,
81,"nigerian dwarf goat milk production per day",livestock,informational,"Nigerian Dwarf Goat Milk Production: What to Expect",blog/nigerian-dwarf-milk-production.html,"/calculators/goat-cheese-yield.html","/calculators/goat-sheep-feed.html",pending,,
82,"salt curing bacon at home ratio",food-preservation,informational,"Salt Curing Bacon at Home: Safe Ratios Explained",blog/salt-curing-bacon-ratio.html,"/calculators/meat-curing.html","/calculators/vegetable-storage.html;/calculators/dehydrator.html",pending,,
83,"raw milk vs pasteurized for cheese making",dairy-kitchen,commercial-investigation,"Raw vs Pasteurized Milk for Cheese: What Changes",blog/raw-vs-pasteurized-cheese.html,"/calculators/cheese-making.html","/calculators/goat-cheese-yield.html",pending,,
84,"how long to season firewood",energy-offgrid,informational,"How Long to Season Firewood by Species",blog/season-firewood-time.html,"/calculators/firewood-requirement.html","/calculators/firewood-requirement.html;/printables/solar-power-reference.html",pending,,
85,"what not to compost list",composting-soil,informational,"What Not to Compost: 20 Items and Why",blog/what-not-to-compost.html,"/calculators/compost-mix.html","/blog/compost-guide.html",pending,,
86,"how often to inspect a beehive",beekeeping,informational,"How Often Should You Inspect a Beehive?",blog/hive-inspection-frequency.html,"/calculators/beehive-management.html","/calculators/honey-yield.html;/blog/honey-yield-guide.html",pending,,
87,"well vs rainwater for homestead",water-rain,commercial-investigation,"Well vs Rainwater: Water Sources for Your Homestead",blog/well-vs-rainwater.html,"/calculators/rainwater-harvest.html","/blog/rainwater-harvesting-guide.html",pending,,
88,"apple tree pollination partners",orchard-fruit,informational,"Apple Pollination Partners: Why One Tree Is Not Enough",blog/apple-pollination-partners.html,"/calculators/fruit-tree-yield.html","/calculators/beehive-management.html",pending,,
89,"backsweetening cider",brewing-ferment,informational,"Backsweetening Cider Without Bottle Bombs",blog/backsweetening-cider.html,"/calculators/cider-making.html","/calculators/wine-making.html;/blog/wine-making-guide.html",pending,,
90,"dwc vs nft hydroponics",mushrooms-hydro,commercial-investigation,"DWC vs NFT: Choosing Your First Hydroponic System",blog/dwc-vs-nft.html,"/calculators/hydroponic-system.html","/blog/hydroponics-guide.html",pending,,
91,"fence cost per foot comparison",land-planning,commercial-investigation,"Fence Cost Per Foot: 7 Types Compared",blog/fence-cost-per-foot.html,"/calculators/fencing-calculator.html","/calculators/self-sufficiency-score.html;/calculators/fencing-calculator.html",pending,,
92,"how much does it cost to raise chickens per month",chickens-eggs,commercial-investigation,"How Much It Costs to Raise Chickens Per Month: Full Budget",blog/cost-to-raise-chickens-monthly.html,"/calculators/chicken-feed.html","/calculators/egg-production.html;/calculators/chicken-coop-size.html",pending,,
93,"how much soil for a 4x8 raised bed",gardening-planning,informational,"How Much Soil for a 4x8 Raised Bed? Cubic Feet and Bags",blog/soil-for-4x8-raised-bed.html,"/calculators/square-foot-gardening.html","/blog/square-foot-gardening-guide.html",pending,,
94,"sheep vs goats for a small homestead",livestock,commercial-investigation,"Sheep vs Goats: Which Fits Your Small Homestead?",blog/sheep-vs-goats-homestead.html,"/calculators/goat-sheep-feed.html","/calculators/land-requirement.html",pending,,
95,"how long does home canned food last",food-preservation,informational,"How Long Does Home-Canned Food Really Last?",blog/home-canned-food-shelf-life.html,"/calculators/canning-scaler.html","/calculators/vegetable-storage.html",pending,,
96,"how long to churn butter by hand",dairy-kitchen,informational,"How Long to Churn Butter by Hand (Jar, Mixer, Churn)",blog/churn-butter-by-hand.html,"/calculators/butter-making.html","/calculators/butter-making.html;/calculators/bread-baking.html",pending,,
97,"wood stove vs pellet stove cost",energy-offgrid,commercial-investigation,"Wood Stove vs Pellet Stove: 10-Year Cost Comparison",blog/wood-vs-pellet-stove.html,"/calculators/firewood-requirement.html","/calculators/firewood-requirement.html;/printables/solar-power-reference.html",pending,,
98,"hot composting berkeley method",composting-soil,informational,"Hot Composting in 18 Days: The Berkeley Method",blog/berkeley-method-compost.html,"/calculators/compost-temperature.html","/printables/compost-cn-ratio-chart.html",pending,,
99,"swarm prevention in spring",beekeeping,informational,"Spring Swarm Prevention: Reading the Signs Early",blog/swarm-prevention-spring.html,"/calculators/beehive-management.html","/calculators/honey-yield.html",pending,,
100,"keep stock tank from freezing without electricity",water-rain,informational,"Keeping Stock Tanks Ice-Free Without Electricity",blog/stock-tank-no-freeze.html,"/calculators/livestock-water.html","/printables/rainwater-harvest-cheat-sheet.html;/blog/rainwater-harvesting-guide.html",pending,,
